排名	企业名称	Company Name	估值（亿人民币）	国家	城市	行业	掌门人/创始人	成立年份	部分投资机构	region
264	罗辑思维	Luojilab	70	中国	北京	媒体和娱乐	罗振宇	2012	顺为资本、启明创投、真格基金、红杉资本、腾讯	渤海大湾区
264	脉脉	Maimai	70	中国	北京	软件与服务	林凡	2012	DST、IDG、晨兴资本、DCM	渤海大湾区
264	妙手医生	Miaoshou	70	中国	北京	健康科技	何涛	2015	红杉资本、启明创投	渤海大湾区
264	明略科技	Mininglamp	70	中国	北京	人工智能	吴明辉	2014	红杉资本、分享投资	渤海大湾区
264	出门问问	Mobvoi	70	中国	上海	人工智能	李志飞	2012	真格基金、红杉资本、海纳亚洲	环杭州湾大湾区
264	Momenta	Momenta	70	中国	北京	人工智能	曹旭东	2016	创新工场、腾讯、真格基金、顺为资本、纪源资本	渤海大湾区
264	诺米	Nome	70	中国	广州	新零售	陈浩	2017	红杉资本、华兴资本、天图资本、今日资本	粤港澳大湾区
264	诺禾致源	Novogene	70	中国	北京	生命科学	李瑞强	2011	招银国际、国投创新	渤海大湾区
264	奥比中光	Orbbec	70	中国	深圳	人工智能	黄源浩	2013	蚂蚁金服、赛富投资、松禾资本	粤港澳大湾区
264	毒	Poizon	70	中国	上海	电子商务	杨冰	2015	DST、虎扑体育、普思资本	环杭州湾大湾区
264	辉能科技	Prologium	70	中国	台北	新能源	楊思枏	2006	丹丰资本、软银中国资本	NA
264	人人车	Renrenche	70	中国	北京	电子商务	李健	2014	高盛、腾讯、滴滴、顺为资本	渤海大湾区
264	人人贷	Renrendai	70	中国	北京	金融科技	杨一夫	2010	挚信资本	渤海大湾区
264	首汽约车	Shouqi	70	中国	北京	共享经济	魏东	2015	百度、蔚来资本	渤海大湾区
264	水滴	Shuidi	70	中国	北京	金融科技	沈鹏	2016	腾讯、创新工场、IDG、美团点评	渤海大湾区
264	神州细胞工程	Sinocelltech	70	中国	北京	生命科学	谢良志	2007	启明创投	渤海大湾区
264	智米科技	Smartmi	70	中国	北京	消费品	苏峻	2014	顺为资本、GIC、纪源资本	渤海大湾区
264	腾云天下	TalkingData	70	中国	北京	大数据	崔晓波	2011	软银中国、麦顿投资、北极光创投	渤海大湾区
264	企鹅杏仁	Tencent Trusted Doctors	70	中国	北京	健康科技	王仕锐	2018	腾讯、碧桂园创投、红杉资本	渤海大湾区
264	优刻得	UCloud	70	中国	上海	云计算	季昕华	2012	DCM、贝塔斯曼、君联资本	环杭州湾大湾区
264	云知声	Unisound	70	中国	北京	云计算	梁家恩	2012	启明创投、高通	渤海大湾区
264	V领地	V Linker	70	中国	上海	房地产科技	周君强	2011	华平投资	环杭州湾大湾区
264	挖财	Wacai	70	中国	杭州	金融科技	李治国	2009	新天域资本、光信资本、IDG、启明创投	环杭州湾大湾区
264	我来贷	WeLab	70	中国	深圳	金融科技	谢飞	2014	阿里巴巴、淡马锡、红杉资本	粤港澳大湾区
264	万能钥匙	WiFi Master key	70	中国	上海	软件与服务	陈大年	2013	海通开元、北极光创投	环杭州湾大湾区
264	我买网	Womai	70	中国	北京	电子商务	张东风	2009	IDG、赛富基金、百度	渤海大湾区
264	汇桔网	WTOIP	70	中国	广州	软件与服务	谢旭辉	2013	粤民投、厚朴投资、胡润百富	粤港澳大湾区
264	要出发	Yaochufa	70	中国	广州	电子商务	丁根芳	2011	众信旅游、红杉资本、创新工场	粤港澳大湾区
264	越海全球	YH Global	70	中国	深圳	物流	张泉	2012	涌铧投资、汇能金融、磐石资本	粤港澳大湾区
264	一点资讯	Yidianzixun	70	中国	北京	媒体和娱乐	李亚	2012	凤凰、小米、IDG	渤海大湾区
264	易久批	Yijiupi	70	中国	北京	电子商务	王朝成	2014	美团点评、腾讯、贝塔斯曼	渤海大湾区
264	壹米滴答	Yimidida	70	中国	上海	物流	杨兴运	2015	博裕资本、厚朴投资、普洛斯、源码资本、鼎晖投资	环杭州湾大湾区
264	洋码头	yMatou	70	中国	上海	电子商务	曾碧波	2009	远镜创投、赛富基金	环杭州湾大湾区
264	有利网	Yooli	70	中国	北京	金融科技	吴逸然	2012	高瓴资本、晨兴资本、软银中国	渤海大湾区
264	网易有道	Youdao	70	中国	北京	软件与服务	周枫	2007	君联资本、慕华投资	渤海大湾区
264	云鸟科技	Yunniao	70	中国	北京	物流	韩毅	2014	华平投资、红杉资本、经纬中国	渤海大湾区
264	掌门1对1	Zhangmen	70	中国	上海	教育科技	张翼	2014	顺为资本、达晨创投、华平投资	环杭州湾大湾区
264	转转	Zhuanzhuan	70	中国	北京	电子商务	姚劲波	2015	腾讯	渤海大湾区
