	index	i	id	isParent	name	level	pid	pname
115	87	6	A0A06	False	农村居民家庭平均每人消费支出	1	A0A	人民生活
116	88	7	A0A09	False	农村居民家庭平均每百户主要耐用消费品拥有量	1	A0A	人民生活
117	89	8	A0A0A	False	农村居民家庭住房情况	1	A0A	人民生活
118	90	0	A0B01	False	全部地级及以上城市数	1	A0B	城市概况
119	91	1	A0B02	False	城市建设	1	A0B	城市概况
120	92	2	A0B03	False	城市供水	1	A0B	城市概况
121	93	3	A0B04	False	城市燃气	1	A0B	城市概况
122	94	4	A0B05	False	城市集中供热	1	A0B	城市概况
123	95	5	A0B06	False	城市市政设施	1	A0B	城市概况
124	96	6	A0B07	False	城市公共交通	1	A0B	城市概况
125	97	7	A0B08	False	城市绿地和园林	1	A0B	城市概况
126	98	8	A0B09	False	城市市容环境卫生	1	A0B	城市概况
127	99	9	A0B0A	False	城市设施水平	1	A0B	城市概况
128	100	0	A0C01	False	主要能源、黑色金属矿产基础储量	1	A0C	资源和环境
129	101	1	A0C02	False	主要有色金属、非金属矿产基础储量	1	A0C	资源和环境
130	102	2	A0C03	False	水资源	1	A0C	资源和环境
131	103	3	A0C04	False	供水用水情况	1	A0C	资源和环境
132	104	4	A0C05	False	废水中主要污染物排放情况	1	A0C	资源和环境
133	105	5	A0C06	False	废气中主要污染物排放	1	A0C	资源和环境
134	106	6	A0C08	False	城市生活垃圾清运和处理情况	1	A0C	资源和环境
135	107	7	A0C0A	False	森林资源	1	A0C	资源和环境
136	108	8	A0C0B	False	造林面积	1	A0C	资源和环境
137	109	9	A0C0C	False	林业重点工程造林面积	1	A0C	资源和环境
138	110	10	A0C0D	False	草原建设利用	1	A0C	资源和环境
139	111	11	A0C0G	False	自然保护基本情况	1	A0C	资源和环境
140	112	12	A0C0H	False	自然灾害	1	A0C	资源和环境
141	113	13	A0C0I	False	地质灾害及防治	1	A0C	资源和环境
142	114	14	A0C0J	False	森林火灾	1	A0C	资源和环境
143	115	15	A0C0K	False	森林病虫鼠害防治	1	A0C	资源和环境
144	116	16	A0C0L	False	突发环境事件情况	1	A0C	资源和环境
145	117	17	A0C0M	False	地震灾害	1	A0C	资源和环境
146	118	18	A0C0N	False	工业污染治理投资完成情况	1	A0C	资源和环境
147	119	19	A0C0O	False	林业投资资金来源	1	A0C	资源和环境
148	120	20	A0C0P	False	林业投资	1	A0C	资源和环境
149	121	0	A0D01	False	农村基层组织情况	1	A0D	农业
150	122	1	A0D02	False	乡村户数和乡村人口	1	A0D	农业
151	123	2	A0D03	False	乡村从业人员	1	A0D	农业
152	124	3	A0D05	False	农、林、牧、渔业总产值及指数	1	A0D	农业
153	125	4	A0D06	False	农林牧渔业增加值	1	A0D	农业
154	126	5	A0D0G	False	主要农业机械年末拥有量	1	A0D	农业
155	127	6	A0D0H	False	有效灌溉面积、农用化肥施用量、农村水电站及用电量	1	A0D	农业
156	128	7	A0D0I	False	农村水电建设和发电量	1	A0D	农业
157	129	8	A0D0J	False	水利设施和除涝面积	1	A0D	农业
158	130	9	A0D0K	False	农用柴油和农药使用量	1	A0D	农业
159	131	10	A0D0L	False	农用塑料薄膜使用量	1	A0D	农业
160	132	11	A0D0M	False	农村居民家庭生产性固定资产原值	1	A0D	农业
161	133	12	A0D0N	False	农村居民家庭平均每百户拥有主要生产性固定资产数量	1	A0D	农业
162	134	13	A0D0O	False	农村居民家庭土地经营情况	1	A0D	农业
163	135	14	A0D0P	False	主要农作物播种面积	1	A0D	农业
164	136	15	A0D0Q	False	主要农作物产品产量	1	A0D	农业
165	137	16	A0D0R	False	主要农作物单位面积产量	1	A0D	农业
166	138	17	A0D0S	False	果园面积	1	A0D	农业
167	139	18	A0D0T	False	瓜果类面积	1	A0D	农业
168	140	19	A0D0U	False	茶园面积	1	A0D	农业
169	141	20	A0D0V	False	茶叶、水果产量	1	A0D	农业
170	142	21	A0D0W	False	瓜果类单位面积产量	1	A0D	农业
171	143	22	A0D0X	False	主要林产品产量	1	A0D	农业
172	144	23	A0D0Y	False	牲畜饲养	1	A0D	农业
173	145	24	A0D0Z	False	牲畜出栏量	1	A0D	农业
174	146	25	A0D10	False	畜产品产量	1	A0D	农业
175	147	26	A0D11	False	水产品产量	1	A0D	农业
176	148	27	A0D12	False	农村居民家庭平均每人出售主要农产品	1	A0D	农业
177	149	28	A0D13	False	农村居民家庭平均每人出售主要畜产品及水产品	1	A0D	农业
178	150	29	A0D14	False	按人口平均的主要农产品产量	1	A0D	农业
179	151	30	A0D15	False	平均每一农业劳动力生产的主要农产品	1	A0D	农业
180	152	31	A0D17	False	水产养殖面积	1	A0D	农业
181	153	32	A0D18	False	受灾和成灾面积	1	A0D	农业
182	154	0	A0E01	False	规模以上工业企业主要经济指标	1	A0E	工业
183	155	1	A0E02	False	国有控股工业企业主要经济指标	1	A0E	工业
184	156	2	A0E03	False	私营工业企业主要经济指标	1	A0E	工业
185	157	3	A0E04	False	外商及港澳台商投资工业企业主要经济指标	1	A0E	工业
186	158	4	A0E05	False	大中型工业企业主要经济指标	1	A0E	工业
187	159	5	A0E0B	False	工业产品产量	1	A0E	工业
188	160	0	A0F01	False	总承包建筑业企业主要经济指标	1	A0F	建筑业
189	161	1	A0F02	False	专业承包建筑业企业主要经济指标	1	A0F	建筑业
190	162	2	A0F03	False	建筑业总产值	1	A0F	建筑业
191	163	3	A0F04	False	建筑业增加值	1	A0F	建筑业
192	164	4	A0F05	False	建筑业企业利税总额	1	A0F	建筑业
193	165	5	A0F06	False	建筑业企业利润总额	1	A0F	建筑业
194	166	6	A0F07	False	按建筑业增加值计算的劳动生产率	1	A0F	建筑业
195	167	7	A0F08	False	按登记注册类型分建筑业企业单位数	1	A0F	建筑业
196	168	8	A0F09	False	按登记注册类型分建筑业企业从业人员	1	A0F	建筑业
197	169	9	A0F0A	False	建筑业企业技术装备情况	1	A0F	建筑业
198	170	10	A0F0B	False	国有建筑业企业技术装备情况	1	A0F	建筑业
199	171	11	A0F0C	False	按登记注册类型分建筑业总产值	1	A0F	建筑业
200	172	12	A0F0D	False	按行业分建筑业总产值	1	A0F	建筑业
201	173	13	A0F0E	False	建筑业企业签订合同和承包工程完成情况	1	A0F	建筑业
202	174	14	A0F0F	False	按登记注册类型分建筑业企业实收资本	1	A0F	建筑业
203	175	15	A0F0G	False	建筑业企业资产	1	A0F	建筑业
204	176	16	A0F0H	False	按登记注册类型分建筑业企业资产	1	A0F	建筑业
205	177	17	A0F0I	False	建筑业企业负债及所有者权益	1	A0F	建筑业
206	178	18	A0F0J	False	按登记注册类型分建筑业企业所有者权益	1	A0F	建筑业
207	179	19	A0F0K	False	按登记注册类型分建筑业企业负债	1	A0F	建筑业
208	180	20	A0F0L	False	建筑业企业总收入	1	A0F	建筑业
209	181	21	A0F0M	False	按登记注册类型分建筑业企业总收入	1	A0F	建筑业
210	182	22	A0F0N	False	建筑业企业利税总额	1	A0F	建筑业
211	183	23	A0F0O	False	按登记注册类型分建筑业企业税金总额	1	A0F	建筑业
212	184	24	A0F0P	False	按登记注册类型分建筑业企业利润总额	1	A0F	建筑业
213	185	25	A0F0Q	False	按资质等级分总承包建筑业企业利润总额	1	A0F	建筑业
214	186	26	A0F0R	False	按资质等级分专业承包建筑业企业利润总额	1	A0F	建筑业
215	187	27	A0F0S	False	按登记注册类型分建筑业企业工程结算利润	1	A0F	建筑业
216	188	28	A0F0T	False	建筑业劳动生产率	1	A0F	建筑业
217	189	29	A0F0U	False	建筑业房屋建筑面积	1	A0F	建筑业
218	190	30	A0F0V	False	劳务分包建筑业企业主要指标	1	A0F	建筑业
219	191	31	A0F0W	False	勘察设计机构和人员数	1	A0F	建筑业
220	192	32	A0F0X	False	勘察设计单位营业收入情况	1	A0F	建筑业
221	193	33	A0F0Y	False	建设工程监理企业和人员数	1	A0F	建筑业
222	194	34	A0F0Z	False	建设工程监理营业收入	1	A0F	建筑业
223	195	0	A0G01	False	交通运输、邮电通信业就业人员数	1	A0G	运输和邮电
224	196	1	A0G02	False	运输线路长度	1	A0G	运输和邮电
225	197	2	A0G03	False	客运量	1	A0G	运输和邮电
226	198	3	A0G04	False	旅客周转量	1	A0G	运输和邮电
227	199	4	A0G05	False	货运量	1	A0G	运输和邮电
228	200	5	A0G06	False	货物周转量	1	A0G	运输和邮电
229	201	6	A0G07	False	民用汽车拥有量	1	A0G	运输和邮电
230	202	7	A0G08	False	私人汽车拥有量	1	A0G	运输和邮电
231	203	8	A0G09	False	新注册民用汽车数量	1	A0G	运输和邮电
232	204	9	A0G0A	False	公路营运汽车拥有量	1	A0G	运输和邮电
233	205	10	A0G0B	False	民用运输船舶拥有量	1	A0G	运输和邮电
234	206	11	A0G0D	False	邮电业务量	1	A0G	运输和邮电
235	207	12	A0G0E	False	快递业务量	1	A0G	运输和邮电
236	208	13	A0G0F	False	邮政业网点及邮递线路	1	A0G	运输和邮电
237	209	14	A0G0G	False	电信主要通信能力	1	A0G	运输和邮电
238	210	15	A0G0H	False	电信通信服务水平	1	A0G	运输和邮电
239	211	16	A0G0I	False	邮政通信服务水平	1	A0G	运输和邮电
240	212	17	A0G0J	False	互联网主要指标发展情况	1	A0G	运输和邮电
241	213	18	A0G0L	False	软件和信息技术服务业主要经济指标	1	A0G	运输和邮电
242	214	19	A0G0K	False	企业信息化及电子商务情况	1	A0G	运输和邮电
243	215	0	A0I01	False	限额以上批发和零售业企业年末资产负债	1	A0I	批发和零售业
244	216	1	A0I02	False	限额以上批发和零售业企业主要财务指标	1	A0I	批发和零售业
245	217	2	A0I03	False	限额以上批发业企业基本情况和商品购销存情况	1	A0I	批发和零售业
246	218	3	A0I04	False	限额以上批发业企业资产及负债	1	A0I	批发和零售业
247	219	4	A0I05	False	限额以上批发业企业主要财务指标	1	A0I	批发和零售业
248	220	5	A0I06	False	限额以上零售业企业基本情况和商品购销存情况	1	A0I	批发和零售业
249	221	6	A0I07	False	限额以上零售业企业资产及负债	1	A0I	批发和零售业
250	222	7	A0I08	False	限额以上零售业企业主要财务指标	1	A0I	批发和零售业
251	223	8	A0I09	False	连锁零售企业	1	A0I	批发和零售业
252	224	9	A0I0A	False	亿元以上商品交易市场基本情况	1	A0I	批发和零售业
253	225	0	A0J01	False	限额以上住宿和餐饮业企业年末资产负债	1	A0J	住宿和餐饮业
254	226	1	A0J02	False	限额以上住宿和餐饮业企业主要财务指标	1	A0J	住宿和餐饮业
255	227	2	A0J03	False	限额以上住宿业企业基本情况和经营情况	1	A0J	住宿和餐饮业
256	228	3	A0J04	False	限额以上住宿业企业企业资产及负债	1	A0J	住宿和餐饮业
257	229	4	A0J05	False	限额以上住宿业企业主要财务指标	1	A0J	住宿和餐饮业
258	230	5	A0J06	False	限额以上餐饮业企业基本情况和经营情况	1	A0J	住宿和餐饮业
259	231	6	A0J07	False	限额以上餐饮业企业资产及负债	1	A0J	住宿和餐饮业
260	232	7	A0J08	False	限额以上餐饮业企业主要财务指标	1	A0J	住宿和餐饮业
261	233	8	A0J09	False	连锁餐饮企业基本情况	1	A0J	住宿和餐饮业
262	234	0	A0K01	False	国际旅游(外汇)收入	1	A0K	旅游业
263	235	1	A0K02	False	接待入境过夜游客	1	A0K	旅游业
264	236	0	A0L01	False	原保险保费收入和赔付支出情况	1	A0L	金融业
265	237	0	A0M01	False	高等学校普通本、专科学校和学生情况	1	A0M	教育
266	238	1	A0M02	False	普通高等学校(机构)教职工情况	1	A0M	教育
267	239	2	A0M03	False	中等职业学校(机构)学生情况	1	A0M	教育
268	240	3	A0M04	False	中等职业学校(机构)教职工数	1	A0M	教育
269	241	4	A0M05	False	普通高中基本情况	1	A0M	教育
270	242	5	A0M06	False	初中基本情况	1	A0M	教育
271	243	6	A0M07	False	普通小学基本情况	1	A0M	教育
272	244	7	A0M08	False	特殊教育基本情况	1	A0M	教育
273	245	8	A0M09	False	各级普通学校生师比	1	A0M	教育
274	246	9	A0M0A	False	每十万人口各级学校平均在校生数	1	A0M	教育
275	247	10	A0M0B	False	教育经费情况	1	A0M	教育
276	248	11	A0M0C	False	普通高等学校招生报名情况	1	A0M	教育
277	249	12	A0M0D	False	在职人员攻读博士、硕士学位分学科学生数	1	A0M	教育
278	250	0	A0N01	False	规模以上工业企业研究与试验发展(R&D)活动情况	1	A0N	科技
279	251	1	A0N02	False	规模以上工业企业新产品开发及生产情况	1	A0N	科技
280	252	2	A0N03	False	规模以上工业企业专利情况	1	A0N	科技
281	253	3	A0N04	False	国内三种专利申请受理数和授权数	1	A0N	科技
282	254	4	A0N05	False	公有经济企事业单位专业技术人员数	1	A0N	科技
283	255	5	A0N06	False	技术市场成交额	1	A0N	科技
284	256	6	A0N07	False	测绘地理信息部门生产完成情况	1	A0N	科技
285	257	7	A0N08	False	测绘资料提供情况	1	A0N	科技
286	258	8	A0N09	False	地震监测情况	1	A0N	科技
287	259	9	A0N0A	False	气象业务站点及观测项目情况	1	A0N	科技
288	260	10	A0N0B	False	产品质量情况	1	A0N	科技
289	261	11	A0N0C	False	产品质量省级监督抽查	1	A0N	科技
290	262	12	A0N0D	False	出入境货物检验检疫	1	A0N	科技
291	263	0	A0O01	False	医疗卫生机构	1	A0O	卫生
292	264	1	A0O02	False	卫生人员	1	A0O	卫生
293	265	2	A0O03	False	每万人口卫生技术人员数	1	A0O	卫生
294	266	3	A0O04	False	村卫生室情况	1	A0O	卫生
295	267	4	A0O05	False	医疗卫生机构床位	1	A0O	卫生
296	268	5	A0O06	False	每万人口医疗卫生机构床位数	1	A0O	卫生
297	269	6	A0O07	False	按床位数分组的社区卫生服务中心(站)	1	A0O	卫生
298	270	7	A0O08	False	医疗卫生机构门诊服务情况	1	A0O	卫生
299	271	8	A0O09	False	医疗卫生机构住院服务情况	1	A0O	卫生
300	272	9	A0O0A	False	医院床位利用情况	1	A0O	卫生
301	273	10	A0O0B	False	乡镇卫生院医疗服务情况	1	A0O	卫生
302	274	11	A0O0C	False	新型农村合作医疗情况	1	A0O	卫生
303	275	0	A0P01	False	社会福利企业	1	A0P	社会服务
304	276	1	A0P02	False	孤儿和家庭儿童收养	1	A0P	社会服务
305	277	2	A0P03	False	社会救助	1	A0P	社会服务
306	278	3	A0P04	False	医疗救助	1	A0P	社会服务
307	279	4	A0P05	False	优抚安置	1	A0P	社会服务
308	280	5	A0P06	False	福利彩票销售	1	A0P	社会服务
309	281	6	A0P07	False	社会捐赠	1	A0P	社会服务
310	282	7	A0P08	False	社区服务机构	1	A0P	社会服务
311	283	8	A0P09	False	婚姻服务	1	A0P	社会服务
312	284	9	A0P0A	False	殡葬服务	1	A0P	社会服务
313	285	10	A0P0B	False	社会组织	1	A0P	社会服务
314	286	11	A0P0C	False	自治组织	1	A0P	社会服务
315	287	0	A0Q01	False	艺术表演团体、艺术表演场馆演出情况	1	A0Q	文化
316	288	1	A0Q02	False	博物馆	1	A0Q	文化
317	289	2	A0Q03	False	公共图书馆	1	A0Q	文化
318	290	3	A0Q04	False	广播电视节目综合人口覆盖情况	1	A0Q	文化
319	291	4	A0Q05	False	广播节目制作播出情况	1	A0Q	文化
320	292	5	A0Q06	False	电视节目制作播出情况	1	A0Q	文化
321	293	6	A0Q07	False	有线广播电视传输干线网络及用户情况	1	A0Q	文化
322	294	7	A0Q08	False	广播电视技术情况	1	A0Q	文化
323	295	8	A0Q09	False	图书、期刊和报纸出版情况	1	A0Q	文化
324	296	9	A0Q0A	False	少年儿童读物类图书和课本出版情况	1	A0Q	文化
325	297	10	A0Q0B	False	录像制品出版情况	1	A0Q	文化
326	298	11	A0Q0C	False	录音制品出版情况	1	A0Q	文化
327	299	12	A0Q0D	False	电子出版物出版情况	1	A0Q	文化
328	300	13	A0Q0E	False	版权合同登记	1	A0Q	文化
329	301	14	A0Q0F	False	出版物发行机构数和网点数	1	A0Q	文化
330	302	15	A0Q0G	False	出版印刷生产情况	1	A0Q	文化
331	303	0	A0R01	False	分技术等级运动员发展人数	1	A0R	体育
332	304	1	A0R02	False	分等级教练员发展人数	1	A0R	体育
333	305	0	A0S01	False	交通事故	1	A0S	公共管理、社会保障及其他
334	306	1	A0S02	False	火灾事故	1	A0S	公共管理、社会保障及其他
335	307	2	A0S03	False	年末城镇职工基本养老保险	1	A0S	公共管理、社会保障及其他
336	308	3	A0S04	False	失业保险	1	A0S	公共管理、社会保障及其他
337	309	4	A0S05	False	城镇基本医疗保险	1	A0S	公共管理、社会保障及其他
338	310	5	A0S06	False	工伤保险	1	A0S	公共管理、社会保障及其他
339	311	6	A0S07	False	生育保险	1	A0S	公共管理、社会保障及其他
340	312	7	A0S08	False	新型农村社会养老保险试点情况	1	A0S	公共管理、社会保障及其他
341	313	8	A0S0A	False	城乡居民最低生活保障和社会救济平均标准	1	A0S	公共管理、社会保障及其他
342	314	9	A0S0B	False	城乡居民社会养老保险情况	1	A0S	公共管理、社会保障及其他
343	0	0	A010101	True	地级区划数	2	A0101	行政区划
344	1	1	A010102	True	地级市数	2	A0101	行政区划
345	2	2	A010103	True	县级区划数	2	A0101	行政区划
346	3	3	A010104	True	市辖区数	2	A0101	行政区划
347	4	4	A010105	True	县级市数	2	A0101	行政区划
348	5	5	A010106	True	县数	2	A0101	行政区划
349	6	6	A010107	True	自治县数	2	A0101	行政区划
350	7	7	A010108	True	乡镇级区划数	2	A0101	行政区划
351	8	8	A010109	True	镇数	2	A0101	行政区划
352	9	9	A01010A	True	乡数	2	A0101	行政区划
353	10	10	A01010B	True	街道办事处	2	A0101	行政区划
354	11	0	A010201	False	三次产业法人单位数	2	A0102	法人单位数
355	12	1	A010202	False	分机构类型法人单位数	2	A0102	法人单位数
356	13	2	A010203	False	分行业法人单位数	2	A0102	法人单位数
357	14	0	A010301	False	按控股情况分企业法人单位数	2	A0103	企业法人单位数
358	15	1	A010302	False	按登记注册类型分企业法人单位数	2	A0103	企业法人单位数
359	16	0	A020101	True	地区生产总值	2	A0201	地区生产总值
360	17	1	A020102	True	第一产业增加值	2	A0201	地区生产总值
361	18	2	A020103	True	第二产业增加值	2	A0201	地区生产总值
362	19	3	A020104	True	第三产业增加值	2	A0201	地区生产总值
363	20	4	A020105	True	农林牧渔业增加值	2	A0201	地区生产总值
364	21	5	A020106	True	工业增加值	2	A0201	地区生产总值
365	22	6	A020107	True	建筑业增加值	2	A0201	地区生产总值
366	23	7	A020108	True	批发和零售业增加值	2	A0201	地区生产总值
367	24	8	A020109	True	批发和零售贸易餐饮业增加值	2	A0201	地区生产总值
368	25	9	A02010A	True	交通运输、仓储和邮政业增加值	2	A0201	地区生产总值
369	26	10	A02010B	True	交通运输、仓储和邮电通信业增加值	2	A0201	地区生产总值
370	27	11	A02010C	True	住宿和餐饮业增加值	2	A0201	地区生产总值
371	28	12	A02010D	True	金融业增加值	2	A0201	地区生产总值
372	29	13	A02010E	True	房地产业增加值	2	A0201	地区生产总值
373	30	14	A02010F	True	其他行业增加值	2	A0201	地区生产总值
374	31	15	A02010G	True	人均地区生产总值	2	A0201	地区生产总值
375	32	0	A020201	True	地区生产总值指数(上年=100)	2	A0202	地区生产总值指数
376	33	1	A020202	True	第一产业增加值指数(上年=100)	2	A0202	地区生产总值指数
377	34	2	A020203	True	第二产业增加值指数(上年=100)	2	A0202	地区生产总值指数
378	35	3	A020204	True	第三产业增加值指数(上年=100)	2	A0202	地区生产总值指数
379	36	0	A020301	True	收入法生产总值	2	A0203	收入法地区生产总值
380	37	1	A020302	True	劳动者报酬	2	A0203	收入法地区生产总值
