	id	name	level	pid	pname	ppid	ppname
40	A020305	营业盈余	2	A0203	收入法地区生产总值	A02	国民经济核算
41	A020401	支出法生产总值	2	A0204	支出法地区生产总值	A02	国民经济核算
42	A020402	最终消费	2	A0204	支出法地区生产总值	A02	国民经济核算
43	A020403	居民消费	2	A0204	支出法地区生产总值	A02	国民经济核算
44	A020405	城镇居民消费	2	A0204	支出法地区生产总值	A02	国民经济核算
45	A020404	农村居民消费	2	A0204	支出法地区生产总值	A02	国民经济核算
46	A020406	政府消费	2	A0204	支出法地区生产总值	A02	国民经济核算
47	A020407	资本形成总额	2	A0204	支出法地区生产总值	A02	国民经济核算
48	A020408	固定资本形成总额	2	A0204	支出法地区生产总值	A02	国民经济核算
49	A020409	存货增加	2	A0204	支出法地区生产总值	A02	国民经济核算
50	A02040A	货物和服务净流出	2	A0204	支出法地区生产总值	A02	国民经济核算
51	A02040B	最终消费率	2	A0204	支出法地区生产总值	A02	国民经济核算
52	A02040C	资本形成率	2	A0204	支出法地区生产总值	A02	国民经济核算
53	A020501	居民消费水平	2	A0205	居民消费水平	A02	国民经济核算
54	A020503	城镇居民消费水平	2	A0205	居民消费水平	A02	国民经济核算
55	A020502	农村居民消费水平	2	A0205	居民消费水平	A02	国民经济核算
56	A020504	居民消费水平指数(上年=100)	2	A0205	居民消费水平	A02	国民经济核算
57	A020506	城镇居民消费水平指数(上年=100)	2	A0205	居民消费水平	A02	国民经济核算
58	A020505	农村居民消费水平指数(上年=100)	2	A0205	居民消费水平	A02	国民经济核算
59	A030101	年末常住人口	2	A0301	总人口	A03	人口
60	A030102	城镇人口	2	A0301	总人口	A03	人口
61	A030103	乡村人口	2	A0301	总人口	A03	人口
62	A030201	人口出生率	2	A0302	人口出生率、死亡率和自然增长率	A03	人口
63	A030202	人口死亡率	2	A0302	人口出生率、死亡率和自然增长率	A03	人口
64	A030203	人口自然增长率	2	A0302	人口出生率、死亡率和自然增长率	A03	人口
65	A030301	平均预期寿命	2	A0303	人口平均预期寿命	A03	人口
66	A030302	男性平均预期寿命	2	A0303	人口平均预期寿命	A03	人口
67	A030303	女性平均预期寿命	2	A0303	人口平均预期寿命	A03	人口
68	A030801	人口数(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
69	A030802	户数、户人口及户规模(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
70	A030803	按户口登记状况分人口数(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
71	A030804	人口年龄构成和抚养比(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
72	A030805	按婚姻状况分人口数(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
73	A030806	按受教育程度分人口数(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
74	A030807	15岁及以上文盲人口(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
75	A030808	按家庭户规模分的户数(人口抽样调查)	2	A0308	人口抽样调查样本数据	A03	人口
76	A040101	城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
77	A040102	农林牧渔业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
78	A040103	采矿业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
79	A040104	制造业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
80	A040105	电力、热力、燃气及水生产和供应业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
81	A040106	建筑业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
82	A040107	交通运输、仓储和邮政业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
83	A040108	信息传输、软件和信息技术服务业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
84	A040109	批发和零售业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
85	A04010A	住宿和餐饮业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
86	A04010B	金融业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
87	A04010C	房地产业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
88	A04010D	租赁和商务服务业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
89	A04010E	科学研究和技术服务业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
90	A04010F	水利、环境和公共设施管理业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
91	A04010G	居民服务、修理和其他服务业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
92	A04010H	教育业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
93	A04010I	卫生和社会工作城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
94	A04010J	文化、体育和娱乐业城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
95	A04010K	公共管理、社会保障和社会组织城镇单位就业人员	2	A0401	按行业分城镇单位就业人员	A04	就业人员和工资
96	A040201	私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
97	A040202	制造业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
98	A040203	建筑业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
99	A040204	交通运输、仓储和邮政业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
100	A040205	批发和零售业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
101	A040206	住宿和餐饮业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
102	A040207	租赁和商务服务业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
103	A040208	居民服务和其他服务业私营企业和个体就业人员	2	A0402	按行业分私营企业和个体就业人员	A04	就业人员和工资
104	A040301	城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
105	A040302	制造业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
106	A040303	建筑业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
107	A040304	交通运输、仓储和邮政业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
108	A040305	批发和零售业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
109	A040306	住宿和餐饮业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
110	A040307	租赁和商务服务业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
111	A040308	居民服务和其他服务业城镇私营企业和个体就业人员	2	A0403	按行业分城镇私营企业和个体就业人员	A04	就业人员和工资
112	A040401	私营企业户数	2	A0404	私营企业就业人员	A04	就业人员和工资
113	A040402	私营企业就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
114	A040403	私营企业投资者就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
115	A040404	城镇私营企业就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
116	A040405	城镇私营企业投资者就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
117	A040406	乡村私营企业就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
118	A040407	乡村私营企业投资者就业人数	2	A0404	私营企业就业人员	A04	就业人员和工资
119	A040501	个体户数	2	A0405	个体就业人员	A04	就业人员和工资
120	A040502	个体就业人数	2	A0405	个体就业人员	A04	就业人员和工资
121	A040503	城镇就业人数	2	A0405	个体就业人员	A04	就业人员和工资
122	A040504	乡村个体就业人数	2	A0405	个体就业人员	A04	就业人员和工资
123	A040601	城镇单位就业人员工资总额	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
124	A040602	国有城镇单位就业人员工资总额	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
125	A040603	城镇集体单位就业人员工资总额	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
126	A040604	其他城镇单位就业人员工资总额	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
127	A040605	城镇单位就业人员工资总额指数(上年=100)	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
128	A040606	国有城镇单位就业人员工资总额指数(上年=100)	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
129	A040607	城镇集体单位就业人员工资总额指数(上年=100)	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
130	A040608	其他城镇单位就业人员工资总额指数(上年=100)	2	A0406	城镇单位就业人员工资总额和指数	A04	就业人员和工资
131	A040701	城镇单位就业人员平均工资	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
132	A040702	城镇单位在岗职工平均工资	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
133	A040703	城镇国有单位就业人员平均工资	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
134	A040704	城镇集体单位就业人员平均工资	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
135	A040705	城镇其他单位就业人员平均工资	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
136	A040706	城镇单位就业人员平均货币工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
137	A040707	城镇单位在岗职工平均货币工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
138	A040708	国有城镇单位就业人员平均货币工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
139	A040709	城镇集体单位就业人员平均货币工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
140	A04070A	其他城镇单位就业人员平均货币工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
141	A04070B	城镇单位就业人员平均实际工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
142	A04070C	城镇单位在岗职工平均实际工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
143	A04070D	国有城镇单位就业人员平均实际工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
144	A04070E	城镇集体单位就业人员平均实际工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
145	A04070F	其他城镇单位就业人员平均实际工资指数(上年=100)	2	A0407	城镇单位就业人员平均工资和指数	A04	就业人员和工资
146	A040801	城镇单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
147	A040802	国有单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
148	A040803	城镇集体单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
149	A040804	股份合作单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
150	A040805	联营单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
151	A040806	有限责任公司就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
152	A040807	股份有限公司就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
153	A040808	其他单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
154	A040809	港、澳、台商投资单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
155	A04080A	外商投资单位就业人员平均工资	2	A0408	按登记注册类型分城镇单位就业人员平均工资	A04	就业人员和工资
156	A040901	城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
157	A040902	农、林、牧、渔业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
158	A040903	采矿业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
159	A040904	制造业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
160	A040905	电力、燃气及水的生产和供应业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
161	A040906	建筑业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
162	A040907	交通运输、仓储和邮政业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
163	A040908	信息传输、计算机服务和软件业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
164	A040909	批发和零售业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
165	A04090A	住宿和餐饮业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
166	A04090B	金融业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
167	A04090C	房地产业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
168	A04090D	租赁和商务服务业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
169	A04090E	科学研究、技术服务和地质勘查业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
170	A04090F	水利、环境和公共设施管理业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
171	A04090G	居民服务和其他服务业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
172	A04090H	教育城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
173	A04090I	卫生、社会保障和社会福利业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
174	A04090J	文化、体育和娱乐业城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
175	A04090K	公共管理和社会组织城镇单位就业人员工资总额	2	A0409	按行业分城镇单位就业人员工资总额	A04	就业人员和工资
176	A040A01	城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
177	A040A02	农、林、牧、渔业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
178	A040A03	采矿业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
179	A040A04	制造业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
180	A040A05	电力、燃气及水的生产和供应业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
181	A040A06	建筑业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
182	A040A07	交通运输、仓储和邮政业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
183	A040A08	信息传输、计算机服务和软件业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
184	A040A09	批发和零售业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
185	A040A0A	住宿和餐饮业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
186	A040A0B	金融业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
187	A040A0C	房地产业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
188	A040A0D	租赁和商务服务业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
189	A040A0E	科学研究、技术服务和地质勘查业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
190	A040A0F	水利、环境和公共设施管理业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
191	A040A0G	居民服务和其他服务业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
192	A040A0H	教育城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
193	A040A0I	卫生、社会保障和社会福利业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
194	A040A0J	文化、体育和娱乐业城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
195	A040A0K	公共管理和社会组织城镇单位就业人员平均工资	2	A040A	按行业分城镇单位就业人员平均工资	A04	就业人员和工资
196	A040B01	城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
197	A040B02	农、林、牧、渔业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
198	A040B03	采矿业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
199	A040B04	制造业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
200	A040B05	电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
201	A040B06	建筑业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
202	A040B07	交通运输、仓储和邮政业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
203	A040B08	信息传输、计算机服务和软件业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
204	A040B09	批发和零售业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
205	A040B0A	住宿和餐饮业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
206	A040B0B	金融业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
207	A040B0C	房地产业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
208	A040B0D	租赁和商务服务业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
209	A040B0E	科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
210	A040B0F	水利、环境和公共设施管理业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
211	A040B0G	居民服务和其他服务业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
212	A040B0H	教育城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
213	A040B0I	卫生、社会保障和社会福利业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
214	A040B0J	文化、体育和娱乐业城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
215	A040B0K	公共管理和社会组织城镇私营单位就业人员平均工资	2	A040B	按行业分城镇私营单位就业人员平均工资	A04	就业人员和工资
216	A040C01	城镇登记失业人数	2	A040C	城镇登记失业人员及失业率	A04	就业人员和工资
217	A040C02	城镇登记失业率	2	A040C	城镇登记失业人员及失业率	A04	就业人员和工资
218	A050101	全社会固定资产投资	2	A0501	全社会固定资产投资	A05	固定资产投资和房地产
219	A050102	城镇固定资产投资	2	A0501	全社会固定资产投资	A05	固定资产投资和房地产
220	A050103	房地产开发投资	2	A0501	全社会固定资产投资	A05	固定资产投资和房地产
221	A050201	全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
222	A050202	内资企业全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
223	A050203	国有全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
224	A050204	集体全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
225	A050205	股份合作全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
226	A050206	联营全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
227	A050207	有限责任公司全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
228	A050208	股份有限公司全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
229	A050209	私营全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
230	A05020A	个体全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
231	A05020B	其他全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
232	A05020C	港、澳、台商投资全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
233	A05020D	外商投资全社会固定资产投资	2	A0502	按登记注册类型分全社会固定资产投资	A05	固定资产投资和房地产
234	A050301	全社会固定资产本年资金来源小计	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
235	A050302	全社会固定资产投资中国家预算内资金	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
236	A050303	全社会固定资产投资中国内贷款	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
237	A050304	全社会固定资产投资中利用外资	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
238	A050305	全社会固定资产投资中自筹资金	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
239	A050306	全社会固定资产投资中其他资金	2	A0503	按资金来源分固定资产投资	A05	固定资产投资和房地产
240	A050401	全社会住宅投资	2	A0504	全社会住宅投资	A05	固定资产投资和房地产
241	A050402	城镇住宅投资	2	A0504	全社会住宅投资	A05	固定资产投资和房地产
242	A050403	房地产住宅投资	2	A0504	全社会住宅投资	A05	固定资产投资和房地产
243	A050501	全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
244	A050502	农、林、牧、渔业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
245	A050503	采矿业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
246	A050504	制造业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
247	A050505	电力、燃气及水的生产和供应业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
248	A050506	建筑业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
249	A050507	交通运输、仓储和邮政业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
250	A050508	信息传输计算机服务和软件业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
251	A050509	批发和零售业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
252	A05050A	住宿和餐饮业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
253	A05050B	金融业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
254	A05050C	房地产业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
255	A05050D	租赁和商务服务业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
256	A05050E	科学研究、技术服务和地质勘查业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
257	A05050F	水利、环境和公共设施管理业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
258	A05050G	居民服务和其他服务业全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
259	A05050H	教育全社会固定资产投资	2	A0505	按行业分全社会固定资产投资	A05	固定资产投资和房地产
