code	cname	dotcount	exp	ifshowcode	memo	name	nodesort	sortcode	tag	unit
A020503	城镇居民消费水平	0		False		城镇居民消费水平	1	113		元
A020504	居民消费水平指数(上年=100)	1		False		居民消费水平指数(上年=100)	1	114		
A020505	农村居民消费水平指数(上年=100)	1		False		农村居民消费水平指数(上年=100)	1	115		
A020506	城镇居民消费水平指数(上年=100)	1		False		城镇居民消费水平指数(上年=100)	1	116		
A030101	年末常住人口	0	年末人口数指每年12月31日24时的人口数。年度统计的全国人口总数内未包括香港、澳门特别行政区和台湾省以及海外华侨人数。	False	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	年末常住人口	1	119		万人
A030102	城镇人口	0	城镇人口是指居住在城镇范围内的全部常住人口。	False	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	城镇人口	1	120		万人
A030103	乡村人口	0	乡村人口是除城镇人口以外的全部人口。	False	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	乡村人口	1	121		万人
A030201	人口出生率	2	"出生率(又称粗出生率)指在一定时期内(通常为一年)一定地区的出生人数与同期内平均人数(或期中人数)之比，用千分率表示。本资料中的出生率指年出生率，其计算公式为：出生率=年出生人口/年平均人口*1000‰

式中：出生人数指活产婴儿，即胎儿脱离母体时(不管怀孕月数)，有过呼吸或其他生命现象。年平均人数指年初、年底人口数的平均数，也可用年中人口数代替。
"	False		人口出生率	1	123		‰
A030202	人口死亡率	2	死亡率(又称粗死亡率)指在一定时期内(通常为一年)一定地区的死亡人数与同期内平均人数(或期中人数)之比，用千分率表示。本资料中的死亡率指年死亡率，其计算公式为：死亡率=年死亡人口/年平均人口*1000‰	False		人口死亡率	1	124		‰
A030203	人口自然增长率	2	"人口自然增长率指在一定时期内(通常为一年)人口自然增加数(出生人数减死亡人数)与该时期内平均人数(或期中人数)之比，用千分率表示。计算公式为：人口自然增长率=（年出生人口-年死亡人口）/年平均人口*1000‰=人口出生率－人口死亡率
"	False		人口自然增长率	1	125		‰
A030301	平均预期寿命	2	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	False	平均预期寿命根据人口普查数据计算。	平均预期寿命	1	127		岁
A030302	男性平均预期寿命	2	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	False	平均预期寿命根据人口普查数据计算。	男性平均预期寿命	1	128		岁
A030303	女性平均预期寿命	2	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	False	平均预期寿命根据人口普查数据计算。	女性平均预期寿命	1	129		岁
A030801	人口数(人口抽样调查)	4		False		人口数(人口抽样调查)	4	131		
A030802	户数、户人口及户规模(人口抽样调查)	4		False		户数、户人口及户规模(人口抽样调查)	4	136		
A030803	按户口登记状况分人口数(人口抽样调查)	4		False		按户口登记状况分人口数(人口抽样调查)	4	146		
A030804	人口年龄构成和抚养比(人口抽样调查)	4		False		人口年龄构成和抚养比(人口抽样调查)	4	162		
A030805	按婚姻状况分人口数(人口抽样调查)	4		False		按婚姻状况分人口数(人口抽样调查)	4	170		
A030806	按受教育程度分人口数(人口抽样调查)	4		False		按受教育程度分人口数(人口抽样调查)	4	189		
A030807	15岁及以上文盲人口(人口抽样调查)	4		False		15岁及以上文盲人口(人口抽样调查)	4	208		
A030808	按家庭户规模分的户数(人口抽样调查)	4		False		按家庭户规模分的户数(人口抽样调查)	4	215		
A040101	城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	城镇单位就业人员	1	229		万人
A040102	农林牧渔业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	农林牧渔业城镇单位就业人员	1	230		万人
A040103	采矿业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	采矿业城镇单位就业人员	1	231		万人
A040104	制造业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	制造业城镇单位就业人员	1	232		万人
A040105	电力、燃气及水的生产和供应业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	电力、燃气及水的生产和供应业城镇单位就业人员	1	233		万人
A040106	建筑业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	建筑业城镇单位就业人员	1	234		万人
A040107	交通运输、仓储及邮电通信业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	交通运输、仓储及邮电通信业城镇单位就业人员	1	235		万人
A040108	信息传输、计算机服务和软件业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	信息传输、计算机服务和软件业城镇单位就业人员	1	236		万人
A040109	批发和零售业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	批发和零售业城镇单位就业人员	1	237		万人
A04010A	住宿和餐饮业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	住宿和餐饮业城镇单位就业人员	1	238		万人
A04010B	金融业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	金融业城镇单位就业人员	1	239		万人
A04010C	房地产业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	房地产业城镇单位就业人员	1	240		万人
A04010D	租赁和商务服务业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	租赁和商务服务业城镇单位就业人员	1	241		万人
A04010E	科学研究、技术服务和地质勘查业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	科学研究、技术服务和地质勘查业城镇单位就业人员	1	242		万人
A04010F	水利、环境和公共设施管理业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	水利、环境和公共设施管理业城镇单位就业人员	1	243		万人
A04010G	居民服务和其他服务业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	居民服务和其他服务业城镇单位就业人员	1	244		万人
A04010H	教育业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	教育业城镇单位就业人员	1	245		万人
A04010I	卫生、社会保障和社会福利业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	卫生、社会保障和社会福利业城镇单位就业人员	1	246		万人
A04010J	文化、体育和娱乐业城镇单位就业人员	2	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	False	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	文化、体育和娱乐业城镇单位就业人员	1	247		万人
