WEO Country Group Code	WEO Subject Code	Country Group Name	Subject Descriptor	Subject Notes	Units	Scale	Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
1	NGSD_NGDP	World	Gross national savings		Percent of GDP			23.842	23.604	22.296	21.522	22.701	22.281	22.234	22.814	24.039	24.167	23.769	23.273	22.566	22.484	22.679	23.255	23.65	23.965	23.684	23.498	24.089	23.234	22.624	22.862	23.813	24.312	25.381	25.566	25.079	23.153	24.81	25.832	26.227	26.214	26.65	26.523	25.958	26.531	26.708	26.545	26.451	26.503	26.558	26.579	26.611	
1	PCPIPCH	World	Inflation, average consumer prices		Percent change			17.463	15.195	14.291	13.501	14.141	13.861	11.829	14.632	19.736	23.222	26.682	17.26	39.902	40.507	31.903	16.31	9.351	6.498	6.331	6.281	4.848	4.634	3.68	3.909	3.798	4.042	4.036	4.305	6.306	2.766	3.732	5.061	4.068	3.659	3.226	2.769	2.773	3.204	3.615	3.41	3.557	3.481	3.453	3.429	3.415	
1	PCPIEPCH	World	Inflation, end of period consumer prices		Percent change			n/a	n/a	n/a	n/a	n/a	16.668	9.788	18.477	23.283	24.726	25.486	18.888	43.609	43.115	26.049	12.701	7.879	5.931	7.312	5.127	4.869	3.978	4.085	3.662	4.086	3.983	3.922	5.302	4.687	3.14	4.329	4.747	3.985	3.293	2.908	2.856	3.028	3.29	3.569	3.461	3.427	3.508	3.417	3.432	3.374	
1	FLIBOR3	World	Three-month London interbank offered rate (LIBOR)		Percent																																																
1	TRADEPCH	World	Trade volume of goods and services		Percent change			2.964	3.095	-1.591	1.57	8.638	2.623	4.396	6.564	8.931	8.218	6.848	5.682	5.583	2.963	9.436	9.555	6.487	9.953	4.58	5.153	12.351	0.58	3.792	5.914	11.078	7.961	9.364	8.057	3.159	-10.396	12.813	6.965	3.077	3.623	3.876	2.835	2.264	5.651	3.562	1.126	3.222	3.758	3.76	3.827	3.755	
1	TM_RPCH	World	Volume of imports of goods and services		Percent change			1.665	2.141	-1.545	1.705	8.888	2.306	5.127	7.235	8.916	8.577	6.696	4.667	5.33	2.181	10.299	9.542	6.806	9.714	4.866	5.735	12.515	0.627	3.731	6.127	11.021	8.063	9.166	8.237	3.227	-10.783	12.65	7.14	3.017	3.497	4.039	2.751	2.284	5.721	3.75	0.992	3.327	3.929	3.863	3.896	3.788	
1	TMG_RPCH	World	Volume of imports of goods		Percent change			1.287	1.264	-1.507	2.745	10.096	3.272	6.133	6.916	9.864	7.86	6.565	5.194	6.424	2.965	10.763	10.28	7.069	10.24	4.924	6.106	13.136	0.114	3.852	6.93	11.392	8.385	9.354	8.106	3.194	-12.222	13.985	7.894	2.561	3.179	3.091	2.108	2.229	6.02	4.061	0.801	3.5	3.98	3.913	3.981	3.871	
1	TX_RPCH	World	Volume of exports of goods and services		Percent change			4.277	4.036	-1.636	1.44	8.396	2.933	3.687	5.905	8.946	7.86	7.001	6.695	5.83	3.726	8.606	9.567	6.175	10.188	4.301	4.583	12.188	0.532	3.853	5.701	11.134	7.859	9.561	7.878	3.091	-10.009	12.974	6.792	3.137	3.747	3.715	2.919	2.245	5.581	3.376	1.258	3.118	3.588	3.657	3.757	3.721	
1	TXG_RPCH	World	Volume of exports of goods		Percent change			4.071	4.422	-2.169	1.883	8.995	3.519	3.348	6.097	9.566	7.633	6.296	6.666	6.625	4.178	9.148	10.098	5.931	11.034	4.245	5	13.004	0.245	3.862	6.363	11.004	7.933	9.609	7.256	2.648	-11.279	14.731	7.026	3.162	3.427	2.955	2.376	2.047	5.616	3.4	0.974	3.17	3.609	3.692	3.819	3.786	
1	TTPCH	World	Terms of trade of goods and services		Percent change																																																
1	TTTPCH	World	Terms of trade of goods		Percent change																																																
1	TXGM_D	World	Export price of manufactures		U.S. dollars; index, 2000=100																																																
1	TXGM_DPCH	World	Export price of manufactures		U.S. dollars; annual percent change																																																
1	LUR	World	Unemployment rate		Percent of total labor force																																																
1	LE	World	Employment		Index, 2000=100																																																
1	GGR_NGDP	World	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government?s net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP																																																
1	GGX_NGDP	World	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP																																																
1	GGXCNL_NGDP	World	General government net lending/borrowing	Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP																																																
1	GGSB_NPGDP	World	General government structural balance		Percent of potential GDP																																																
1	GGXONLB_NGDP	World	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (?) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP																																																
1	GGXWDN_NGDP	World	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP																																																
1	GGXWDG_NGDP	World	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP																																																
1	BCA	World	Current account balance	Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.	U.S. dollars	Billions		-57.28	-82.969	-92.31	-76.385	-68.579	-64.387	-67.393	-65.787	-59.366	-85.554	-114.139	-153.723	-138.602	-67.8	-89.167	-72.49	-61.356	2.917	-75.067	-95.487	-135.105	-159.352	-119.412	-54.435	41.92	68.649	194.76	245.067	92.586	151.655	278.788	337.965	368.471	373.967	398.45	209.445	256.31	424.073	364.191	290.548	117.381	43.183	-11.18	-85.729	-121.883	
1	BCA_NGDPD	World	Current account balance		Percent of GDP																																																
1	BM	World	Imports of goods and services		U.S. dollars	Billions																																															
1	BX	World	Exports of goods and services		U.S. dollars	Billions																																															
1	BF	World	Financial account balance		U.S. dollars	Billions																																															
1	BFD	World	Direct investment, net		U.S. dollars	Billions																																															
1	BFP	World	Portfolio investment, net		U.S. dollars	Billions																																															
1	BFF	World	Financial derivatives, net		U.S. dollars	Billions																																															
1	BFO	World	Other investment, net		U.S. dollars	Billions																																															
1	BFRA	World	Change in reserves		U.S. dollars	Billions																																															
1	D	World	External debt, total		U.S. dollars	Billions																																															
1	D_NGDPD	World	External debt, total		Percent of GDP																																																
1	D_BX	World	External debt, total		Percent of exports of goods and services																																																
1	DS	World	External debt, total debt service		U.S. dollars	Billions																																															
1	DS_NGDPD	World	External debt, total debt service		Percent of GDP																																																
1	DS_BX	World	External debt, total debt service		Percent of exports of goods and services																																																
1	DSI	World	External debt, total debt service, interest		U.S. dollars	Billions																																															
1	DSI_NGDPD	World	External debt, total debt service, interest		Percent of GDP																																																
1	DSI_BX	World	External debt, total debt service, interest		Percent of exports of goods and services																																																
1	DSP	World	External debt, total debt service, amortization		U.S. dollars	Billions																																															
1	DSP_NGDPD	World	External debt, total debt service, amortization		Percent of GDP																																																
1	DSP_BX	World	External debt, total debt service, amortization		Percent of exports of goods and services																																																
1	PALLFNFW	World	Commodity Price Index includes both Fuel and Non-Fuel Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	51.688	50.39	52.752	56.497	60.216	56.87	48.038	48.66	61.092	56.891	56.143	65.99	79.373	97.943	114.36	129.286	163.327	117.02	146.262	182.702	174.47	169.171	159.567	108.685	100	113.572	128.414	118.463	117.848	117.092	117.253	117.654	118.328	
1	PNFUELW	World	Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	54.019	53.991	59.709	63.826	64.128	60.721	55.432	50.543	52.241	50.124	51.407	57.582	65.937	71.193	86.728	101.541	113.924	98.136	123.101	147.693	136.225	128.826	121.831	101.059	100	106.416	108.171	109.097	110.969	112.434	113.354	113.855	114.275	
1	PINDUW	World	Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	54.517	52.545	60.494	69.972	63.385	61.154	49.653	49.821	55.141	48.655	48.886	56.868	72.089	83.984	121.256	144.608	134.613	114.228	169.835	195.611	159.538	153.145	136.114	104.016	100	117.369	123.728	126.002	119.397	120.414	121.289	122.092	122.677	
1	POILAPSP	World	Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	U.S. dollars	Units		35.707	34.038	31.544	29.469	28.546	27.371	14.172	18.198	14.769	17.906	22.985	19.368	19.036	16.787	15.948	17.204	20.373	19.268	13.074	17.981	28.234	24.331	24.95	28.903	37.717	53.36	64.275	71.161	96.965	61.766	79.035	104.052	105.007	104.069	96.247	50.793	42.837	52.814	68.329	61.784	57.943	55.3	54.601	54.723	55.291	
1	POILBRE	World	Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel		U.S. dollars	Units		37.892	36.676	33.418	29.783	28.743	27.611	14.433	18.436	14.975	18.248	23.711	19.982	19.414	16.998	15.826	17.056	20.453	19.116	12.719	17.699	28.308	24.412	24.998	28.845	38.281	54.433	65.376	72.731	97.569	61.865	79.635	111.082	111.96	108.844	98.943	52.399	44.048	54.401	71.071	64.394	60.49	57.968	57.288	57.408	57.978	
1	POILDUB	World	Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel		U.S. dollars	Units		35.846	34.294	31.757	28.468	27.509	26.508	13.056	16.964	13.36	15.781	20.73	16.607	17.138	14.906	14.832	16.128	18.537	18.102	12.09	17.076	26.085	22.71	23.734	26.732	33.44	49.192	61.412	68.405	93.713	61.729	78.064	106.027	108.919	105.43	96.664	51.232	41.236	53.116	69.13	63.492	58.378	55.742	55.068	55.225	55.804	
1	POILWTI	World	Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel		U.S. dollars	Units		37.879	36.168	32.67	30.604	29.388	27.992	15.024	19.193	15.972	19.692	24.518	21.512	20.555	18.455	17.183	18.432	22.132	20.585	14.416	19.166	30.315	25.869	26.116	31.133	41.429	56.455	66.036	72.347	99.612	61.702	79.405	95.046	94.143	97.934	93.135	48.748	43.226	50.924	64.785	57.464	54.961	52.189	51.446	51.536	52.091	
1	PNRGW	World	Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	48.316	45.18	42.688	45.897	54.558	51.299	37.343	45.935	73.896	66.679	62.994	78.152	98.809	136.638	154.329	169.418	234.787	144.334	179.764	233.343	229.791	227.529	214.151	119.717	100	123.923	157.694	132.01	127.798	123.829	122.892	123.149	124.19	
1	POILAPSPW	World	Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh	The APSP denotes an equally weighted average of three crude oil spot prices?West Texas Intermediate (?WTI?), Dated Brent (?Brent?), and Dubai Fateh (?Dubai?). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the ?headline? oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.	Index, 2005=100			86.861	83.367	76.153	69.15	66.651	63.908	33.062	42.465	34.448	41.751	53.607	45.134	44.396	39.143	37.216	40.157	47.529	44.972	30.515	41.977	65.885	56.78	58.242	67.445	87.948	124.491	150.04	166.125	226.404	144.297	184.6	243.063	245.369	243.114	224.834	118.658	100	123.375	159.623	144.367	135.348	129.171	127.54	127.827	129.154	
1	PNGASW	World	Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	58.298	64.291	58.036	59.377	74.511	70.202	57.454	59.052	107.514	103.527	85.2	122.668	134.164	195.761	189.096	193.408	270.996	154.138	163.654	204.326	209.852	213.197	214.72	139.99	100	116.099	146.692	97.733	109.725	108.34	107.642	108.012	108.691	
1	PNGASEU	World	Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	3.81	3.44	2.13	1.9	1.589	2.035	3.008	2.365	2.598	2.312	2.696	2.75	2.67	2.245	1.807	3.454	3.873	2.666	3.486	3.755	5.915	8.213	8.143	13.138	8.855	8.223	10.597	11.981	11.189	10.463	7.305	4.353	5.744	7.915	4.768	5.956	5.958	5.791	5.716	5.667	
1	PNGASJP	World	Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.744	3.598	3.285	3.557	3.903	3.761	2.754	3.343	5.235	4.669	4.427	4.981	5.891	7.033	8.049	8.411	11.591	7.491	9.381	15.553	18.145	17.339	16.998	10.958	7.439	7.247	9.795	5.726	6.644	6.645	6.663	6.663	6.663	
1	PNGASUS	World	Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.451	1.751	2.114	1.915	1.704	2.689	2.46	2.088	2.261	4.308	3.959	3.361	5.507	5.908	8.895	6.74	6.982	8.858	3.946	4.386	4	2.752	3.726	4.37	2.614	2.492	2.964	3.155	2.66	2.568	2.463	2.501	2.571	2.65	
1	PCOALW	World	Commodity Coal Price Index includes Australian and South African Coal		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	53.817	52.75	49.892	43.279	45.214	55.434	53.179	49.374	41.687	37.313	39.351	49.338	39.495	43.288	82.919	71.922	76.882	98.373	192.189	104.445	145.769	182.639	144.5	126.651	110.149	89.045	100	132.739	156.791	113.066	114.326	120.273	124.896	124.693	124.462	
1	PCOALAU	World	Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne		U.S. dollars	Units		42.935	50.818	54.768	38.188	30.958	33.75	31.125	27.5	34.875	38	39.667	39.667	38.563	31.333	32.3	39.372	38.074	35.099	29.231	25.892	26.25	32.313	27.06	27.954	56.73	50.816	52.731	70.089	138.024	76.16	104.599	129.607	101.443	90.134	75.729	62.693	70.082	94.138	113.231	84.161	83.732	87.643	91.013	90.842	90.627	
1	PCOALSA	World	Coal, South African export price, US$ per metric tonne		U.S. dollars	Units		n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	32.875	31.5	28.833	26.958	28.563	35.229	33.518	31.349	26.839	24.273	26.57	33.864	26.011	30.076	54.684	45.953	50.583	62.315	120.741	64.559	91.658	116.173	92.924	80.324	72.303	57.097	64.419	84.486	97.925	68.311	70.329	74.396	77.254	77.15	77.05	
1	PFANDBW	World	Commodity Food and Beverage Price Index includes Food and Beverage Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	64.108	64.657	70.531	72.678	76.866	73.49	70.188	61.184	60.435	60.229	62.266	67.884	73.976	75.955	81.92	93.369	109.906	93.208	105.894	126.207	119.986	119.576	119.495	100.255	100	103.221	102.081	98.451	101.442	103.067	103.824	103.88	103.88	
1	PFOODW	World	Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices		Index, 2005=100			n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	65.827	66.068	69.047	71.184	77.402	72.45	69.585	61.233	61.559	62.126	63.764	69.561	76.088	77.177	83.059	94.604	111.132	93.423	105.925	125.801	121.061	121.856	120.196	100.005	100	103.892	103.316	99.752	102.56	104.121	104.753	104.813	104.813	
1	PCEREW	World	Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley		Index, 2005=100			101.64	105.832	87.122	91.806	89.758	76.988	63.972	62.578	82.592	91.24	80.11	78.675	83.309	77.857	83.156	98.973	115.516	88.621	74.46	64.201	62.607	64.665	76.283	77.242	80.838	78.332	96.999	129.172	178.045	126.28	130.977	182.887	186.788	170.487	140.838	115.004	100	100.982	114.881	109.95	111.053	116.155	117.735	117.735	117.735	
1	PWHEAMT	World	Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne		U.S. dollars	Units		172.726	174.961	160.355	157.416	152.333	135.829	114.916	112.895	145.199	169.243	135.523	128.658	151.161	140.212	149.783	176.96	197.229	149.513	114.465	98.261	100.739	106.373	132.167	131.919	134.391	129.674	169.139	231.185	292.967	192.107	195.23	280.282	276.33	265.686	242.899	185.866	143.201	145.294	186.129	160.763	154.528	165.063	169.18	169.18	169.18	
1	PMAIZMT	World	Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne		U.S. dollars	Units		125.716	130.604	108.099	135.984	135.82	112.331	87.791	75.521	106.95	111.368	109.28	107.473	104.213	102.04	107.778	123.451	164.523	117.172	101.618	90.294	88.219	89.609	99.333	105.245	111.895	98.508	121.647	163.61	223.36	165.628	185.957	291.854	298.438	258.979	192.939	169.845	159.221	154.595	164.511	168.585	171.549	182.449	184.61	184.61	184.61	
1	PRICENPQ	World	Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne		U.S. dollars	Units		433.667	482.833	293.375	276.833	252.25	217.417	195.667	214.417	277.25	299.75	270.667	293.667	267.667	237.25	269.458	320.801	338.064	302.469	305.424	248.968	203.695	172.705	191.826	199.461	245.783	287.811	303.515	332.393	700.2	589.376	520.494	551.711	580.236	519.308	426.475	380.047	388.265	399.075	403.082	407.608	444.023	444.023	444.023	444.023	444.023	
1	PBARL	World	Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne		U.S. dollars	Units		78.229	79.726	63.712	70.891	78.723	58.816	47.56	55.001	70.333	75.139	79.926	78.287	78.675	71.377	72.649	104.012	119.665	97.237	85.054	75.937	77.235	93.936	108.967	104.718	98.989	95.077	116.615	172.381	200.476	128.381	158.374	207.219	238.583	200.833	132.501	100.278	97.809	101.66	104.36	119.434	129.376	129.376	129.376	129.376	129.376	
1	PVOILW	World	Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices		Index, 2005=100			69.429	66.63	55.874	64.365	74.5	58.071	45.907	49.356	68.208	60.59	55.235	54.87	56.03	60.074	67.754	71.56	76.786	75.876	70.821	52.765	47.951	46.508	55.776	67.123	77.926	72.695	72.695	97.095	135.146	102.638	113.263	142.574	143.143	132.139	118.861	95.706	100	101.16	95.446	89.565	94.149	95.939	96.049	96.049	96.049	
1	PSOYB	World	Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne		U.S. dollars	Units		265.316	261.404	221.29	259.616	257.505	202.979	188.948	195.506	279.724	246.986	219.1	208.779	209.803	230.138	229.51	224.015	277.458	280.603	223.29	174.919	183.052	168.755	188.866	233.187	276.633	223.15	217.454	317.32	452.943	378.546	384.945	484.246	537.762	517.204	457.814	347.356	362.707	358.824	342.528	325.128	343.491	354.558	354.558	354.558	354.558	
1	PSMEA	World	Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne		U.S. dollars	Units		225.683	225.244	195.434	222.666	191.197	145.411	166.902	184.496	259.845	234.045	192.387	192.332	196.301	216.526	199.013	198.546	266.379	279.875	174.727	152.565	187.17	180.612	183.981	214.655	257.145	205.778	193.975	263.673	367.938	359.284	331.317	378.861	473.284	477.299	466.966	352.722	350.168	348.614	373.312	333.249	341.822	355.715	356.6	356.6	356.6	
1	PSOIL	World	Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne		U.S. dollars	Units		535.465	493.376	403.262	511.251	647.938	571.603	364.387	366.904	529.66	453.454	492.145	446.693	433.189	503.149	603.037	584.684	544.229	525.857	562.49	392.404	351.821	346.989	409.839	500.201	590.417	495.8	551.496	799.656	1,133.79	787.037	924.822	1,215.82	1,151.75	1,011.11	812.71	672.165	721.164	735.279	658.631	638.388	681.541	712.59	722.46	722.46	722.46	
1	PROIL	World	Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton		U.S. dollars	Units		572.368	484.714	418.538	501.561	688.345	540.95	359.387	347.333	537.97	476.598	428.487	416.553	405.098	460.883	621.263	632.711	563.07	562.833	630.475	428.688	346.24	391.879	479.183	603.578	713.201	720.966	851.318	1,011.86	1,423.71	856.178	1,011.75	1,366.63	1,239.08	1,080.86	904.368	774.609	821.951	871.95	829.631	839.471	861.132	861.132	861.132	861.132	861.132	
